Id,Sentiment,Instagram Comment Text,cleaned_text,normalized_text,final_text
1,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,tolol gak ada hubungan nya keguguran dgn pake hijab syar i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar,tolol tidak ada hubungan nya keguguran dgn pake hijab syar i yang kamu bilang bayi nya kepanasan didalem tidak ada hubungan nya woyyyy otak sama jempol kamu tidak singkron sih ya jadinya asal nulis komentar,tolol ada hubung nya gugur dgn pake hijab syar i kamu bilang bayi nya panas dalem ada hubung nya woyyyy otak sama jempol kamu singkron sih jadi asal nulis komentar
2,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek lo tata cowo bgt dibelain balikan hadeww ntar ditinggal lg nyalahin tuh cowo padahal kitenya yg oon,geblek kamu tata cowo banget dibelain balikan hadeww ntar ditinggal lagi nyalahin tuh cowo padahal kitenya yang oon,geblek kamu tata cowo banget bain balik hadeww ntar tinggal nyalahin tuh cowo padahal kitenya oon
3,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kmrn termewek skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kmrn termewek sekarang lengket lagi duhhh kok labil banget sih mbak kya abege ajah ato yang kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kmrn mewek sekarang lengket duhhh kok labil banget sih mbak kya abege ajah ato kmrn cari sensasi biar top markotoppp ertong gk kualitas
4,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters,intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters,inti kalau kesel att nya gausah anak kasi buat kembang psikis anak depan orang bener bener tolol skrg anda punya anak terus anak dikatain sama orang benci sama gimana asa benci sama orang tapi tau batesnya nama manusia gaakan semua jadi suka ada haters
5,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan itu lg sakit jiwa knp harus dia yg jd peran utama di film hantu jeruk purut ky khabisan stok artis ja,hadewwwww permpuan itu lagi sakit jiwa knp harus dia yang jd peran utama di film hantu jeruk purut ky khabisan stok artis ja,hadewwwww permpuan lagi sakit jiwa knp dia jd peran utama film hantu jeruk purut ky khabis stok artis ja
6,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri aja dia gak becus gimana ngurus anak mending anak sama bapake nya aja bener didiknya,pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri saja dia tidak becus gimana ngurus anak mending anak sama bapake nya saja bener didiknya,pantesan tinggalin laki laki mikir kali kalau perempuan kayagni ngurus diri dia becus gimana ngurus anak mending anak sama bapake nya bener didik
7,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",kebiasaan balajaer nyampah d ig para artis suka yg punya ig lah mau bikin caption apa kok balajaer yg heboh dan asik ceramahin yg punya ig tar lama d bikinin lagu sm teh melly loh balajaer yg berjudul ketika balajaer bersabda demi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa minus segalanya lagi masih d bela matian pd sakit jiwa,kebiasaan balajaer nyampah d ig para artis suka yang punya ig lah mau bikin caption apa kok balajaer yang heboh dan asik ceramahin yang punya ig tar lama d bikinin lagu sm teh melly loh balajaer yang berjudul ketika balajaer bersabda demi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan kamu itu kek apa minus segalanya lagi masih d bela matian pd sakit jiwa,biasa balajaer nyampah d ig artis suka punya ig lah mau bikin caption apa kok balajaer heboh asik ceramahin punya ig tar lama d bikinin lagu sm teh melly loh balajaer judul balajaer sabda seonggak koin laknat nya balajaer ngamuk arti iya banget koin laknat nya jd goda d rt nya gigi duh elah balajaer smua tau kale laku biduan kamu kek apa minus segala masih d bela mati pd sakit jiwa
8,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yg baik mana yg buruk sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yang baik mana yang buruk sdh tau prilaku buruk tdk tau sopan santun itu yang dipilih jd panutan lebih mengidolakan yang murahan dr pd yang berkelas dan ber etika,krn bagi besar rakyat indonesia bodoh tdk beda mana baik mana buruk sdh tau prilaku buruk tdk tau sopan santun pilih jd panutan lebih idola murah dr pd yang kelas ber etika
9,negative,ayu janda bego pny suami kpn nikah laginya?,ayu janda bego pny suami kpn nikah laginya,ayu janda bego pny suami kpn nikah laginya,ayu janda bego pny suami kpn nikah lagi
10,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyiennnnggg suaranya ancur banget lebih merdu tukang gorengan,anyiennnnggg suaranya ancur banget lebih merdu tukang gorengan,anyiennnnggg suara ancur banget lebih merdu tukang goreng
